Time;Vazao02
01/01/2018;96.57
02/01/2018;112.69
03/01/2018;113.67
04/01/2018;118.08
05/01/2018;125.75
06/01/2018;107.61
07/01/2018;94.78
08/01/2018;100.78
09/01/2018;100.26
10/01/2018;100.85
11/01/2018;105.71
12/01/2018;105.35
13/01/2018;112.83
14/01/2018;104.61
15/01/2018;116.51
16/01/2018;112.32
17/01/2018;109.23
18/01/2018;114.5
19/01/2018;108.23
20/01/2018;104.68
21/01/2018;106.32
22/01/2018;121.32
23/01/2018;116.91
24/01/2018;115.61
25/01/2018;110.33
26/01/2018;84.97
27/01/2018;128.71
28/01/2018;114.35
29/01/2018;107.86
30/01/2018;105
31/01/2018;110.16
01/02/2018;109.26
02/02/2018;112.14
03/02/2018;115.48
04/02/2018;103.14
05/02/2018;107.38
06/02/2018;111.88
07/02/2018;132.98
08/02/2018;132.04
09/02/2018;150.98
10/02/2018;122.17
11/02/2018;96.63
12/02/2018;95.03
13/02/2018;99.39
14/02/2018;106.86
15/02/2018;111.66
16/02/2018;112.42
17/02/2018;119.96
18/02/2018;112.83
19/02/2018;90.05
20/02/2018;101.38
21/02/2018;115.27
22/02/2018;118.51
23/02/2018;119.6
24/02/2018;119.9
25/02/2018;116.6
26/02/2018;126.27
27/02/2018;36.82
28/02/2018;160.73
01/03/2018;138.41
02/03/2018;119.9
03/03/2018;124.24
04/03/2018;120.08
05/03/2018;126.12
06/03/2018;119.17
07/03/2018;115.3
08/03/2018;104.81
09/03/2018;143.1
10/03/2018;122.59
11/03/2018;121.71
12/03/2018;125.76
13/03/2018;114.65
14/03/2018;120.93
15/03/2018;131.27
16/03/2018;106.9
17/03/2018;122.41
18/03/2018;120.51
19/03/2018;124.41
20/03/2018;113.81
21/03/2018;109.41
22/03/2018;111.86
23/03/2018;130.4
24/03/2018;140.4
25/03/2018;124.83
26/03/2018;118.33
27/03/2018;108.12
28/03/2018;143.59
29/03/2018;130.14
30/03/2018;131.13
31/03/2018;121.67
01/04/2018;124.64
02/04/2018;134.62
03/04/2018;133.66
04/04/2018;130.48
05/04/2018;130.41
06/04/2018;127.54
07/04/2018;135.53
08/04/2018;130.57
09/04/2018;132.88
10/04/2018;128.46
11/04/2018;130.7
12/04/2018;130.39
13/04/2018;134.28
14/04/2018;117.38
15/04/2018;120.99
16/04/2018;121.77
17/04/2018;125.89
18/04/2018;135.87
19/04/2018;138.98
20/04/2018;138.11
21/04/2018;143.57
22/04/2018;134.08
23/04/2018;140.64
24/04/2018;140.31
25/04/2018;139.46
26/04/2018;141.14
27/04/2018;139.9
28/04/2018;137.74
29/04/2018;130.6
30/04/2018;139.35
01/05/2018;139.41
02/05/2018;132.64
03/05/2018;137.65
04/05/2018;141.72
05/05/2018;140.78
06/05/2018;136.12
07/05/2018;132.29
08/05/2018;129.41
09/05/2018;132.53
10/05/2018;139.31
11/05/2018;140.75
12/05/2018;142.53
13/05/2018;132.24
14/05/2018;141.72
15/05/2018;138.82
16/05/2018;131.71
17/05/2018;131.87
18/05/2018;139.32
19/05/2018;126.9
20/05/2018;127.45
21/05/2018;127.82
22/05/2018;115.31
23/05/2018;113.59
24/05/2018;115.93
25/05/2018;108.16
26/05/2018;112.88
27/05/2018;114.23
28/05/2018;116.22
29/05/2018;112.06
30/05/2018;110.93
31/05/2018;116.5
01/06/2018;111.19
02/06/2018;97.48
03/06/2018;100.54
04/06/2018;104.1
05/06/2018;103.14
06/06/2018;111.66
07/06/2018;102.45
08/06/2018;119.28
09/06/2018;115.05
10/06/2018;116.12
11/06/2018;122.21
12/06/2018;108.51
13/06/2018;112.05
14/06/2018;103.92
15/06/2018;99.86
16/06/2018;99.05
17/06/2018;104.83
18/06/2018;117.63
19/06/2018;57.32
20/06/2018;143.2
21/06/2018;95.32
22/06/2018;131.22
23/06/2018;128.9
24/06/2018;114.21
25/06/2018;112.28
26/06/2018;109.9
27/06/2018;96.08
28/06/2018;111.35
