Time;Vazao03
01/01/2018;78.39
02/01/2018;84.92
03/01/2018;87.07
04/01/2018;90.39
05/01/2018;91.43
06/01/2018;93.4
07/01/2018;81.38
08/01/2018;83.85
09/01/2018;85.71
10/01/2018;85.65
11/01/2018;87.36
12/01/2018;84.55
13/01/2018;98.17
14/01/2018;88.41
15/01/2018;95.04
16/01/2018;91.58
17/01/2018;90.73
18/01/2018;92.84
19/01/2018;91.24
20/01/2018;93.54
21/01/2018;88.95
22/01/2018;94.01
23/01/2018;92.21
24/01/2018;92.09
25/01/2018;90.83
26/01/2018;86.99
27/01/2018;97.96
28/01/2018;91.52
29/01/2018;94.82
30/01/2018;95.03
31/01/2018;99.23
01/02/2018;97.7
02/02/2018;99.91
03/02/2018;110.35
04/02/2018;95.55
05/02/2018;96.99
06/02/2018;100.79
07/02/2018;98.52
08/02/2018;101.74
09/02/2018;105.39
10/02/2018;106.69
11/02/2018;91.72
12/02/2018;92.94
13/02/2018;95.17
14/02/2018;98.25
15/02/2018;99.64
16/02/2018;100.4
17/02/2018;109.74
18/02/2018;101.05
19/02/2018;81.46
20/02/2018;78.1
21/02/2018;102.04
22/02/2018;99.88
23/02/2018;104.14
24/02/2018;111.95
25/02/2018;104.58
26/02/2018;106.98
27/02/2018;36.11
28/02/2018;126.99
01/03/2018;108.98
02/03/2018;105.19
03/03/2018;113.59
04/03/2018;104.51
05/03/2018;106.38
06/03/2018;103.53
07/03/2018;101.87
08/03/2018;101.66
09/03/2018;100.2
10/03/2018;109.98
11/03/2018;103.8
12/03/2018;103.64
13/03/2018;97.04
14/03/2018;100.74
15/03/2018;102.06
16/03/2018;73.5
17/03/2018;110.39
18/03/2018;102.78
19/03/2018;103.97
20/03/2018;98.56
21/03/2018;96.77
22/03/2018;98.37
23/03/2018;103.02
24/03/2018;112.8
25/03/2018;100.02
26/03/2018;95.86
27/03/2018;93.69
28/03/2018;102.38
29/03/2018;102.8
30/03/2018;104.56
31/03/2018;105.31
01/04/2018;100.22
02/04/2018;104.12
03/04/2018;104.38
04/04/2018;104.84
05/04/2018;101.47
06/04/2018;102.77
07/04/2018;111.39
08/04/2018;101.69
09/04/2018;103.97
10/04/2018;101.4
11/04/2018;103.39
12/04/2018;103.78
13/04/2018;106.07
14/04/2018;104.79
15/04/2018;99.46
16/04/2018;99.8
17/04/2018;80.38
18/04/2018;110.19
19/04/2018;101.08
20/04/2018;106.46
21/04/2018;113.98
22/04/2018;103.68
23/04/2018;103.78
24/04/2018;103.72
25/04/2018;103.11
26/04/2018;105.77
27/04/2018;107.68
28/04/2018;112.13
29/04/2018;102.46
30/04/2018;106.97
01/05/2018;108.66
02/05/2018;103.71
03/05/2018;106.92
04/05/2018;108.55
05/05/2018;115.09
06/05/2018;104.47
07/05/2018;101.96
08/05/2018;101.68
09/05/2018;104.09
10/05/2018;107.78
11/05/2018;109.23
12/05/2018;113.65
13/05/2018;102.48
14/05/2018;106.28
15/05/2018;106.66
16/05/2018;104.65
17/05/2018;104.75
18/05/2018;108.55
19/05/2018;110.85
20/05/2018;104.66
21/05/2018;105.41
22/05/2018;104.76
23/05/2018;104.61
24/05/2018;105.98
25/05/2018;103.19
26/05/2018;112.21
27/05/2018;109.6
28/05/2018;99.48
29/05/2018;104.98
30/05/2018;103.97
31/05/2018;109.14
01/06/2018;106
02/06/2018;104.26
03/06/2018;99.71
04/06/2018;100.83
05/06/2018;101.29
06/06/2018;104.39
07/06/2018;101.06
08/06/2018;111.26
09/06/2018;116.68
10/06/2018;108.64
11/06/2018;112.38
12/06/2018;104.43
13/06/2018;104.24
14/06/2018;101.84
15/06/2018;98.2
16/06/2018;106.2
17/06/2018;103.47
18/06/2018;107.28
19/06/2018;62.4
20/06/2018;115.05
21/06/2018;72.4
22/06/2018;122.94
23/06/2018;118.63
24/06/2018;110.27
25/06/2018;110.71
26/06/2018;109.41
27/06/2018;104.13
